Name,Name2,ra_deg,dec_deg,dist,dist_err,vlos,vlos_err,pmra,pmra_err,pmdec_err,pmcorr,Age,Age_err,Fe_H,Fe_H_err,Mass
NGC6205,M13,250.421814,36.459862,7.42,0.08,-244.9,2.0,-3.139,0.024,0.024,0.002,12.2,1.7,-1.58,0.08,545000.0
NGC6229,-,251.745249,47.527796,30.11,0.47,-137.89,2.0,-1.173,0.027,0.027,0.009,12.0,1.0,-1.13,0.06,286000.0
NGC6218,M12,251.809067,-1.948528,5.11,0.05,-41.67,2.0,-0.195,0.025,0.025,0.001,12.7,0.4,-1.37,0.12,107000.0
FSR1735,-,253.044174,-47.058056,9.08,0.53,-69.85,4.88,-4.526,0.055,0.047,-0.054,nan,nan,nan,nan,72300.0
NGC6235,-,253.355676,-22.177447,11.94,0.38,126.68,2.0,-3.938,0.027,0.027,-0.005,9.7,1.6,-1.28,0.31,107000.0
NGC6254,M10,254.28772,-4.100306,5.07,0.06,74.21,2.0,-4.754,0.025,0.025,-0.0,11.4,0.5,-1.53,0.06,205000.0
NGC6256,-,254.886107,-37.120968,7.24,0.29,-99.75,2.0,-3.715,0.031,0.03,0.006,13.0,0.5,-1.51,0.14,125000.0
Pal15,-,254.9626,-0.539,44.1,1.14,72.27,2.0,-0.596,0.035,0.032,-0.014,13.0,-1.5,-2.12,0.05,50900.0
NGC6266,M62,255.304153,-30.11339,6.41,0.1,-73.98,2.0,-4.986,0.026,0.026,0.005,11.6,0.6,-1.18,0.07,610000.0
NGC6273,M19,255.657486,-26.267971,8.34,0.16,145.54,2.0,-3.251,0.026,0.025,0.004,11.9,0.9,-1.86,0.05,697000.0
NGC6284,-,256.120114,-24.764799,14.21,0.42,28.62,2.0,-3.196,0.028,0.027,0.01,11.0,nan,-1.1,0.12,129000.0
NGC6287,-,256.288904,-22.708005,7.93,0.37,-294.74,2.0,-4.999,0.027,0.027,0.002,13.57,0.9,-1.91,nan,145000.0
NGC6293,-,257.5425,-26.582083,9.19,0.28,-143.66,2.0,0.879,0.028,0.027,0.002,nan,nan,-1.99,nan,205000.0
NGC6304,-,258.634399,-29.462028,6.15,0.15,-108.62,2.0,-4.087,0.029,0.028,0.013,12.3,0.7549999999999999,-0.48,0.025,126000.0
NGC6316,-,259.155417,-28.140111,11.15,0.39,99.65,2.0,-4.981,0.03,0.029,0.012,nan,nan,-0.35,0.14,318000.0
M92,NGC6341,259.280762,43.135944,8.5,0.07,-120.55,2.0,-4.94,0.025,0.025,0.002,13.1,1.5,-2.35,nan,352000.0
NGC6325,-,259.496327,-23.767677,7.53,0.32,29.54,2.0,-8.298,0.03,0.029,0.019,nan,nan,-1.29,0.12,58900.0
NGC6333,M9,259.799086,-18.516257,8.3,0.14,310.75,2.12,-2.171,0.026,0.026,0.005,nan,nan,-1.77,nan,323000.0
NGC6342,-,260.291573,-19.587659,8.01,0.23,115.75,2.0,-2.908,0.028,0.027,0.0,10.2,0.8,-0.55,0.1,42200.0
NGC6356,-,260.895804,-17.813027,15.66,0.92,48.18,2.0,-3.756,0.026,0.026,0.001,15.0,3.0,-0.45,0.11,600000.0
NGC6355,-,260.993533,-26.352827,8.65,0.22,-195.85,2.0,-4.753,0.032,0.031,0.032,nan,nan,-1.49,0.14,101000.0
NGC6352,-,261.371277,-48.422169,5.54,0.07,-125.63,2.0,-2.159,0.025,0.025,0.004,12.2,0.725,-0.57,0.05,64700.0
IC1257,-,261.785431,-7.093056,26.59,1.43,-137.97,2.04,-1.031,0.035,0.031,0.083,nan,nan,-1.7,nan,18100.0
Terzan2,HP3,261.887917,-30.802333,7.75,0.33,134.56,2.0,-2.162,0.041,0.037,0.07,nan,nan,-0.85,0.04,136000.0
NGC6366,-,261.934357,-5.079861,3.44,0.05,-120.65,2.0,-0.337,0.025,0.025,0.005,11.0,1.5,-0.72,0.12,37600.0
Terzan4,HP4,262.662506,-31.595528,7.59,0.31,-48.96,2.0,-5.47,0.054,0.047,0.1,nan,nan,-1.4,0.05,200000.0
HP1,BH229,262.771667,-29.981667,7.0,0.14,39.76,2.0,2.486,0.038,0.036,0.03,12.75,0.835,-1.09,0.08,124000.0
FSR1758,-,262.8,-39.808,11.09,0.74,227.31,2.0,-2.882,0.026,0.026,0.007,11.6,1.28,-1.36,0.05,628000.0
NGC6362,-,262.979096,-67.048332,7.65,0.07,-14.58,2.0,-5.506,0.024,0.024,0.001,13.6,0.495,-1.08,0.03,127000.0
Liller1,-,263.352333,-33.389556,8.06,0.34,60.36,2.44,-5.417,0.093,0.064,0.302,12.0,1.5,-0.4,nan,915000.0
NGC6380,Ton1,263.618611,-39.06953,9.61,0.3,-1.48,2.0,-2.158,0.031,0.03,0.005,nan,nan,-0.44,0.14,334000.0
Terzan1,HP2,263.946667,-30.481778,5.67,0.17,56.75,2.0,-2.861,0.039,0.033,0.051,nan,nan,-0.74,0.18,150000.0
Ton2,Pismis26,264.039293,-38.540925,6.99,0.34,-184.72,2.0,-5.94,0.029,0.028,0.022,nan,nan,-0.26,0.15,69100.0
NGC6388,-,264.071777,-44.7355,11.17,0.16,83.11,2.0,-1.319,0.026,0.026,0.001,12.0,1.0,-0.55,0.15,1250000.0
NGC6402,M14,264.400651,-3.245916,9.14,0.25,-60.71,2.0,-3.583,0.026,0.025,0.004,12.5,0.75,-1.13,0.05,592000.0
NGC6401,-,264.652191,-23.909605,8.06,0.24,-105.44,2.5,-2.752,0.035,0.033,0.027,nan,nan,-1.18,0.14,145000.0
NGC6397,-,265.175385,-53.674335,2.48,0.02,18.51,2.0,3.254,0.025,0.025,-0.0,13.0,1.25,-2.08,0.03,96600.0
VVVCL002,-,265.27625,-28.845083,8.0,0.4,-10.0,140.0,-9.127,0.096,0.054,0.254,nan,nan,nan,nan,nan
Pal6,-,265.925812,-26.224995,7.05,0.45,177.0,2.0,-9.221,0.038,0.036,0.038,12.4,0.9,-1.1,0.09,94500.0
NGC6426,-,266.22796,3.170142,20.71,0.35,-210.51,2.0,-1.828,0.026,0.026,0.01,12.95,0.9,-2.34,0.11,71700.0
Djorg1,-,266.869583,-33.066389,9.88,0.65,-359.18,2.0,-4.779,0.042,0.037,-0.011,nan,nan,nan,nan,nan
Terzan5,11,267.0202,-24.779055,6.62,0.15,-82.57,2.0,-1.977,0.058,0.054,0.05,nan,nan,-0.23,nan,935000.0
NGC6440,-,267.220167,-20.360417,8.25,0.24,-69.39,2.0,-1.167,0.034,0.033,0.024,13.0,1.5,-1.34,0.36,489000.0
NGC6441,-,267.554413,-37.051445,12.73,0.16,18.47,2.0,-2.538,0.027,0.027,0.008,11.3,0.9,-0.47,0.14,1320000.0
Terzan6,HP5,267.69325,-31.275389,7.27,0.35,136.45,2.0,-5.014,0.05,0.041,0.115,nan,nan,-0.56,nan,104000.0
NGC6453,-,267.715508,-34.598477,10.07,0.22,-99.23,2.0,0.18,0.037,0.035,0.022,nan,nan,-1.57,0.12,165000.0
UKS1,-,268.613312,-24.145277,15.58,0.56,59.38,2.63,-2.175,0.085,0.058,-0.03,13.1,1.11,-0.98,0.11,77000.0
VVVCL001,-,268.677083,-24.014722,8.08,1.48,-327.28,2.0,-3.621,0.11,0.078,0.255,11.9,3.585,-2.45,0.24,135000.0
Gran1,-,269.652542,-32.019644,8.8,0.44000000000000006,-10.0,130.0,-8.098,0.032,0.029,0.101,nan,nan,-1.19,0.19,45000.0
Pfleiderer2,-,269.663664,-5.07038,16.0,0.8,-100.0,120.0,-2.78,0.032,0.03,0.09,nan,nan,nan,nan,nan
NGC6496,-,269.76535,-44.265945,9.64,0.15,-134.72,2.0,-3.064,0.026,0.026,0.005,10.75,1.38,-0.53,0.09,68900.0
Terzan9,-,270.411667,-26.839722,5.77,0.34,68.49,2.0,-2.111,0.048,0.045,0.058,nan,nan,-1.4,0.07,120000.0
Djorg2,ESO456,270.454378,-27.825819,8.76,0.18,-149.75,2.0,0.682,0.031,0.028,-0.002,12.7,0.705,-1.07,0.09,125000.0
NGC6517,-,270.46075,-8.958778,9.23,0.56,-35.06,2.0,-1.565,0.028,0.028,0.024,nan,nan,-1.53,0.12,195000.0
Terzan10,-,270.740833,-26.066944,10.21,0.4,211.37,2.27,-6.87,0.043,0.035,-0.004,nan,nan,-1.0,nan,302000.0
NGC6522,-,270.891977,-30.033974,7.29,0.21,-15.23,2.0,2.611,0.042,0.042,0.015,12.7,0.705,-1.05,0.2,211000.0
NGC6535,-,270.960449,-0.297639,6.36,0.12,-214.85,2.0,-4.214,0.027,0.027,0.011,12.75,1.5,-1.83,0.11,21900.0
NGC6528,-,271.206697,-30.055778,7.83,0.24,211.86,2.0,-2.091,0.046,0.043,0.018,12.0,2.0,-0.14,0.03,56700.0
NGC6539,-,271.207276,-7.585858,8.16,0.39,35.19,2.0,-6.897,0.027,0.026,0.014,nan,nan,-0.59,0.12,209000.0
NGC6540,Djorg3,271.535657,-27.765286,5.91,0.27,-16.5,2.0,-3.75,0.046,0.045,0.017,nan,nan,-1.06,0.06,34500.0
NGC6544,-,271.833833,-24.998222,2.58,0.06,-38.46,2.0,-2.325,0.028,0.027,0.004,8.8,1.0,-1.44,0.04,91400.0
NGC6541,-,272.009827,-43.714889,7.61,0.1,-163.97,2.0,0.288,0.025,0.025,0.003,12.4,1.5,-1.84,0.03,293000.0
ESO-SC06,ESO280,272.275,-46.423333,20.95,0.65,93.2,2.0,-0.719,0.033,0.03,0.069,nan,nan,-2.48,0.08499999999999999,12000.0
NGC6553,-,272.315322,-25.90775,5.33,0.13,-0.27,2.0,0.356,0.03,0.03,0.008,12.0,2.0,-0.14,0.07,285000.0
NGC6558,-,272.573974,-31.764508,7.47,0.29,-195.12,2.0,-1.733,0.031,0.03,0.007,nan,nan,-1.17,0.1,26500.0
IC1276,Pal7,272.684441,-7.207595,4.55,0.25,155.06,2.0,-2.562,0.026,0.026,0.001,nan,nan,-0.37,0.12,73900.0
Terzan12,-,273.065833,-22.741944,5.17,0.38,95.61,2.0,-6.225,0.037,0.035,0.092,nan,nan,-0.5,nan,87200.0
NGC6569,-,273.411667,-31.826889,10.53,0.26,-49.83,2.0,-4.139,0.027,0.027,0.009,12.8,1.0,-1.17,0.1,236000.0
BH261,AL3,273.5275,-28.635,6.12,0.26,-45.0,15.0,3.596,0.044,0.042,0.061,nan,nan,nan,nan,63000.0
NGC6584,-,274.656647,-52.215778,13.61,0.17,260.64,2.0,-0.091,0.026,0.026,-0.001,11.6,1.7,-1.5,nan,102000.0
Mercer5,-,275.8325,-13.668611,5.5,0.5,185.5,3.75,-3.929,0.095,0.079,0.34,nan,nan,nan,nan,nan
NGC6624,-,275.918793,-30.361029,8.02,0.11,54.79,2.0,0.124,0.029,0.029,0.01,11.7,0.6399999999999999,-0.73,0.02,156000.0
NGC6626,M28,276.137039,-24.869847,5.37,0.1,11.11,2.0,-0.293,0.027,0.027,-0.006,11.1,0.9,-1.32,0.05,299000.0
NGC6638,-,277.733734,-25.497473,9.78,0.34,8.63,2.0,-2.509,0.031,0.031,0.023,12.0,nan,-0.95,0.13,118000.0
NGC6637,M69,277.846252,-32.348084,8.9,0.1,47.48,2.0,-5.065,0.027,0.027,0.021,12.3,0.54,-0.82,0.02,155000.0
NGC6642,-,277.975957,-23.475602,8.05,0.2,-60.61,2.0,-0.166,0.031,0.03,0.021,101.4,nan,-1.11,0.04,34400.0
NGC6652,-,278.940125,-32.990723,9.46,0.14,-95.37,2.0,-5.488,0.027,0.027,0.009,12.7,0.615,-0.92,0.05,48100.0
NGC6656,M22,279.099762,-23.904749,3.3,0.04,-148.72,2.0,9.85,0.026,0.026,0.001,12.5,1.5,-1.74,0.11,476000.0
Pal8,-,280.37729,-19.828858,11.32,0.63,-31.54,2.0,-1.991,0.027,0.027,0.011,nan,nan,-0.37,nan,67400.0
NGC6681,M70,280.803162,-32.29211,9.36,0.11,216.62,2.0,1.441,0.026,0.026,0.009,12.7,1.7,-1.64,0.04,116000.0
Ryu879,RLGC2,281.36675,-5.1920277,15.8,0.79,-70.0,110.0,-2.403,0.06,0.054,0.341,nan,nan,-2.1,0.3,243000.0
NGC6712,-,283.268021,-8.70596,7.38,0.24,-107.45,2.0,3.363,0.027,0.027,0.012,10.4,1.4,-1.03,0.06,96300.0
NGC6715,M54,283.763855,-30.479862,26.28,0.33,143.13,2.0,-2.683,0.025,0.025,0.007,11.75,1.5,-1.65,0.11,1780000.0
NGC6717,Pal9,283.775177,-22.701473,7.52,0.13,30.25,2.0,-3.139,0.027,0.027,0.023,13.5,0.7150000000000001,-1.29,0.065,35800.0
NGC6723,-,284.888123,-36.632248,8.27,0.1,-94.39,2.0,1.024,0.025,0.025,0.005,12.6,0.56,-1.12,0.065,177000.0
NGC6749,-,286.314056,1.899756,7.59,0.21,-58.44,2.0,-2.839,0.027,0.027,0.01,nan,nan,-1.54,0.11,211000.0
NGC6752,-,287.717102,-59.984554,4.12,0.04,-26.01,2.0,-3.168,0.024,0.024,0.0,12.6,1.7,-1.53,0.16,276000.0
NGC6760,-,287.800268,1.030466,8.41,0.43,-2.37,2.0,-1.092,0.026,0.026,0.01,nan,nan,-0.4,nan,269000.0
NGC6779,M56,289.148193,30.183472,10.43,0.14,-136.97,2.0,-2.015,0.025,0.026,0.003,12.75,1.5,-2.0,nan,186000.0
Terzan7,-,289.432983,-34.657722,24.28,0.49,159.85,2.0,-3.003,0.028,0.028,0.03,7.65,0.45,-0.21,0.12,24000.0
Pal10,-,289.506933,18.578994,8.94,1.18,-31.7,2.0,-4.322,0.027,0.028,0.008,nan,nan,-0.27,0.16,162000.0
Arp2,-,292.183807,-30.355639,28.73,0.34,122.64,2.0,-2.323,0.028,0.027,0.025,11.96,0.51,-1.66,nan,37000.0
NGC6809,M55,294.998779,-30.96475,5.35,0.05,174.7,2.0,-3.432,0.024,0.024,0.001,11.4,1.4,-2.01,0.02,61000.0
Terzan8,-,295.435028,-33.999474,27.54,0.42,148.43,2.0,-2.492,0.027,0.026,-0.021,12.89,0.43,-2.18,nan,62100.0
Pal11,-,296.31,-8.007222,14.02,0.51,-67.64,2.0,-1.747,0.027,0.027,0.02,11.4,0.5,-0.42,0.13,11900.0
M71,NGC6838,298.443726,18.779194,4.0,0.05,-22.72,2.0,-3.415,0.025,0.025,0.001,11.0,1.38,-0.63,0.05,65600.0
NGC6864,M75,301.519784,-21.921164,20.52,0.45,-189.08,2.0,-0.592,0.026,0.026,0.01,9.98,0.51,-1.02,0.12,370000.0
NGC6934,Arp2,308.547394,7.404472,15.72,0.17,-406.22,2.0,-2.651,0.026,0.026,0.006,13.0,1.38,-2.12,0.11,136000.0
NGC6981,M72,313.365417,-12.537306,16.66,0.18,-331.39,2.0,-1.269,0.026,0.026,0.002,11.5,1.25,-1.43,0.06,68900.0
NGC7006,-,315.372626,16.187323,39.32,0.56,-383.47,2.0,-0.124,0.027,0.027,0.002,12.25,0.75,-1.56,0.11,136000.0
Laevens3,-,316.7267,14.9805,61.77,1.65,-70.3,2.0,0.157,0.085,0.069,0.06,13.0,1.0,-1.8,0.1,2120.0
Segue3,-,320.379166,19.1172,29.5,1.1,-167.0,2.0,-1.008,0.107,0.069,-0.248,2.6,0.4,-0.55,0.135,nan
M15,NGC7078,322.493042,12.167001,10.71,0.1,-106.84,2.0,-0.661,0.024,0.024,0.003,12.6,1.3,-2.39,0.14,633000.0
NGC7089,M2,323.362579,-0.82325,11.69,0.11,-3.78,2.0,3.44,0.025,0.025,0.005,11.8,0.6,-1.64,0.08,620000.0
NGC7099,M30,325.092133,-23.179861,8.46,0.09,-185.19,2.0,-0.741,0.025,0.025,0.008,12.7,1.3,-2.23,0.04,143000.0
Pal12,-,326.661804,-21.252611,18.49,0.3,27.91,2.0,-3.23,0.027,0.027,0.044,9.11,0.57,-0.81,nan,6270.0
Pal13,-,346.68519,12.771539,23.48,0.4,25.3,2.0,1.749,0.043,0.038,0.083,nan,nan,-1.88,nan,3020.0
NGC7492,NAN,347.11117,-15.611469,24.39,0.57,-176.7,2.0,0.766,0.027,0.026,0.015,12.0,1.4,-1.72,0.07,26600.0
